Title,Year
Dragon Ball Z: Battle of Gods,
Teenage Mutant Ninja Turtles (2014),
The Hundred-Foot Journey,
Into The Storm,
Step Up All In,
What If (2014),
The Admiral: Roaring Currents,
James Cameron's Deepsea Challenge 3D,
The Dog,
Fifi Howls From Happiness,
Boy Meets Girl,
What Now? Remind Me,
Let's Be Cops,
The Giver,
The Expendables 3,
The Trip to Italy,
Singham Returns,
Frank,
Life After Beth,
Fort McCoy,
Jealousy,
Abuse of Weakness,
Level Five,
Red Hollywood,
Jake Squared,
Expedition to the End of the World,
If I Stay,
When the Game Stands Tall,
Frank Miller's Sin City: A Dame to Kill For,
Love is Strange,
The One I Love,
To Be Takei,
That Man From Rio,
May in the Summer,
K2: Siren of the Himalayas,
Kabbalah Me,
Ragnarok,
The November Man,
Through a Lens Darkly,
Starred Up,
As Above/So Below,
Cantinflas,
Ghostbusters (30th Anniversary re-release),
The Last of Robin Hood,
Kundo: Age of the Rampant,
Life of Crime,
The Congress,
Raja Natwarlal,
The Notebook ,2013
The Conformist ,
Road to Ninja - Naruto the Movie,
Last Weekend,
Canopy,
The Strange Color of Your Body's Tears,
Rocks in my Pockets,
The Identical,
The Remaining,
The Captive,
Mary Kom,
Forrest Gump (IMAX),
Last Days in Vietnam,
But Always (Yi Sheng Yi Shi),
The Pirates,
Innocence ,2014
God Help the Girl,
Frontera,
Wetlands,
Memphis,
Kelly & Cal,
Levitated Mass,
Falcon Rising,
Pay 2 Play: Democracy's High Stakes,
Thunder and the House of Magic!,
My Old Lady,
Duran Duran: Unstaged,
Born to Fly: Elizabeth Streb vs. Gravity,
No Good Deed ,2014
Dolphin Tale 2,
The Drop,
The Skeleton Twins,
Atlas Shrugged Part III: Who Is John Galt?,
Finding Fanny,
The Disappearance of Eleanor Rigby,
I Am Eleven,
The Green Prince,
Take Me to the River,
Sagrada: The Mystery of Creation,
Bird People,
The Homestretch,
Stray Dogs,
Honeymoon,
The Mystery of Happiness,
The Quitter,
Faith Connections,
Smiling Through the Apocalypse,
The Guest,2014
"20,000 Days on Earth",
The Maze Runner,
This is Where I Leave You,
A Walk Among the Tombstones,
Mommy,
Tusk,
Hector And The Search For Happiness,
Khoobsurat,
Tracks ,2014
The Zero Theorem,
Tazza: The Hidden Card,
Art and Craft,
Keep On Keepin' On,
Pump,
Not Cool,
This Ain't No Mouse Music!,
Yellow Day,
Iceman ,2014
Swim Little Fish Swim,
Hollidaysburg,
Stop the Pounding Heart,
Life's a Breeze,
"Mummy, I'm a Zombie",
The Equalizer,
The Boxtrolls,
Pride ,2014
The Song,
Mas Negro Que La Noche,
The Two Faces of January,
Jimi: All Is By My Side,
Bjork - Biophilia Live,
Advanced Style,
Lilting,
Believe Me,
Two Night Stand,
Days and Nights,
The Little Bedroom,
"Men, Women & Children",
NAS: Time is Illmatic,
The Decent One,
Bang Bang,
Haider,
Gone Girl,
Annabelle,
Left Behind ,2014
The Good Lie,
Breakup Buddies,
The Blue Room,
The Liberator,
The Hero of Color City,
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",
Dracula Untold,
The Judge,
St. Vincent,
Addicted,
Whiplash,
Meet the Mormons,
Kill the Messenger,
Awake: The Life of Yogananda,
The Overnighters,
One Chance,
Dead Snow 2: Red vs. Dead,
Christian Mingle,
You're Not You,
I Am Ali,
The Devil's Hand,
Evolution of a Criminal,
Diplomacy,
Fury ,2014
The Book of Life ,2014
Birdman,
The Best of Me,
Dear White People,
The Tale of The Princess Kaguya,
A Matter of Faith,
Listen Up Philip,
God the Father,
The Golden Era,
Hiroshima Mon Amour,
Rudderless,
Stations of the Elevated,
Guardian Angel,
Watchers of the Sky,
Camp X-Ray,
Eternity the Movie,
The Hacker Wars,
Algorithms,
Ouija,
John Wick,
Citizenfour,
Force Majeure,
Laggies,
23 Blast,
Goodbye to Language,
Glen Campbell... I'll Be Me,
The Principle,
Low Down,
"1,000 Times Good Night",
White Bird in a Blizzard,
Life of Riley,
Two-Bit Waltz,
Rhymes for Young Ghouls,
Revenge of the Mekons,
The Great Invisible,
Nightcrawler,
Before I Go To Sleep,
Saw 10th Anniversary,
Horns,
The Cabinet of Dr. Caligari ,
ABCs of Death 2,
Plot for Peace,
Showrunners: The Art of Running a TV Show,
Missionary,
Missionary,
Interstellar,
National Gallery,
Big Hero 6,
The Theory of Everything,
On Any Sunday: The Next Chapter,
Elsa & Fred ,2014
The Way He Looks,
The Better Angels,
Viva La Liberta,
